country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Malaysia,MY,7/11/2021,TV,6,Locke & Key,Locke & Key: Season 2,3
Malaysia,MY,7/11/2021,TV,7,Maya and the Three,Maya and the Three: Limited Series,2
Malaysia,MY,7/11/2021,TV,8,Vincenzo,Vincenzo: Season 1,17
Malaysia,MY,7/11/2021,TV,9,You,You: Season 3,4
Malaysia,MY,7/11/2021,TV,10,Oh My Venus,Oh My Venus: Season 1,2
Malaysia,MY,31/10/2021,TV,1,My Name,My Name: Season 1,3
Malaysia,MY,31/10/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,9
Malaysia,MY,31/10/2021,TV,3,Squid Game,Squid Game: Season 1,7
Malaysia,MY,31/10/2021,TV,4,The King's Affection,The King's Affection: Season 1,3
Malaysia,MY,31/10/2021,TV,5,Locke & Key,Locke & Key: Season 2,2
Malaysia,MY,31/10/2021,TV,6,Maya and the Three,Maya and the Three: Limited Series,1
Malaysia,MY,31/10/2021,TV,7,You,You: Season 3,3
Malaysia,MY,31/10/2021,TV,8,Dynasty,Dynasty: Season 4,1
Malaysia,MY,31/10/2021,TV,9,Locke & Key,Locke & Key: Season 1,1
Malaysia,MY,31/10/2021,TV,10,Vincenzo,Vincenzo: Season 1,16
Malaysia,MY,24/10/2021,TV,1,My Name,My Name: Season 1,2
Malaysia,MY,24/10/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,8
Malaysia,MY,24/10/2021,TV,3,Squid Game,Squid Game: Season 1,6
Malaysia,MY,24/10/2021,TV,4,You,You: Season 3,2
Malaysia,MY,24/10/2021,TV,5,The King's Affection,The King's Affection: Season 1,2
Malaysia,MY,24/10/2021,TV,6,Maid,Maid: Limited Series,4
Malaysia,MY,24/10/2021,TV,7,You,You: Season 1,1
Malaysia,MY,24/10/2021,TV,8,Vincenzo,Vincenzo: Season 1,15
Malaysia,MY,24/10/2021,TV,9,Locke & Key,Locke & Key: Season 2,1
Malaysia,MY,24/10/2021,TV,10,The Five Juanas,The Five Juanas: Season 1,2
Malaysia,MY,17/10/2021,TV,1,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,7
Malaysia,MY,17/10/2021,TV,2,My Name,My Name: Season 1,1
Malaysia,MY,17/10/2021,TV,3,Squid Game,Squid Game: Season 1,5
Malaysia,MY,17/10/2021,TV,4,Maid,Maid: Limited Series,3
Malaysia,MY,17/10/2021,TV,5,You,You: Season 3,1
Malaysia,MY,17/10/2021,TV,6,House of Secrets: The Burari Deaths,House of Secrets: The Burari Deaths: Limited Series,1
Malaysia,MY,17/10/2021,TV,7,The Five Juanas,The Five Juanas: Season 1,1
Malaysia,MY,17/10/2021,TV,8,The King's Affection,The King's Affection: Season 1,1
Malaysia,MY,17/10/2021,TV,9,Alice in Borderland,Alice in Borderland: Season 1,4
Malaysia,MY,17/10/2021,TV,10,Vincenzo,Vincenzo: Season 1,14
Malaysia,MY,10/10/2021,TV,1,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,6
Malaysia,MY,10/10/2021,TV,2,Squid Game,Squid Game: Season 1,4
Malaysia,MY,10/10/2021,TV,3,Maid,Maid: Limited Series,2
Malaysia,MY,10/10/2021,TV,4,Alice in Borderland,Alice in Borderland: Season 1,3
Malaysia,MY,10/10/2021,TV,5,Hell's Kitchen,Hell's Kitchen: Season 20,2
Malaysia,MY,10/10/2021,TV,6,Vincenzo,Vincenzo: Season 1,13
Malaysia,MY,10/10/2021,TV,7,Juvana,,1
Malaysia,MY,10/10/2021,TV,8,Money Heist,Money Heist: Part 1,6
Malaysia,MY,10/10/2021,TV,9,Baki Hanma,Baki Hanma: Season 1,1
